site.sp,site,bin,Case
NAK.Macaca assamensis,NAK,Macaca assamensis,binomial
NAK.Hystrix brachyura,NAK,Hystrix brachyura,binomial
NAK.Arctonyx collaris,NAK,Arctonyx collaris,binomial
NAK.Cuon alpinus,NAK,Cuon alpinus,binomial
NAK.Viverra zibetha,NAK,Viverra zibetha,binomial
NAK.Gallus gallus,NAK,Gallus gallus,binomial
NAK.Capricornis milneedwardsii,NAK,Capricornis milneedwardsii,binomial
NAK.Herpestes urva,NAK,Herpestes urva,binomial
NAK.Martes flavigula,NAK,Martes flavigula,binomial
NNN.Cercopithecus nictitans,NNN,Cercopithecus nictitans,binomial
NNN.Phataginus tricuspis,NNN,Phataginus tricuspis,binomial
NNN.Hyemoschus aquaticus,NNN,Hyemoschus aquaticus,binomial
NNN.Mellivora capensis,NNN,Mellivora capensis,binomial
NNN.Tragelaphus spekii,NNN,Tragelaphus spekii,binomial
NNN.Francolinus africanus,NNN,Francolinus africanus,binomial
NNN.Syncerus caffer,NNN,Syncerus caffer,binomial
NNN.Funisciurus lemniscatus,NNN,Funisciurus lemniscatus,binomial
NNN.Funisciurus pyrropus,NNN,Funisciurus pyrropus,binomial
NNN.Orycteropus afer,NNN,Orycteropus afer,binomial
NNN.Cricetomys emini,NNN,Cricetomys emini,binomial
NNN.Nandinia binotata,NNN,Nandinia binotata,binomial
NNN.Turtur brehmeri,NNN,Turtur brehmeri,binomial
NNN.Smutsia gigantea,NNN,Smutsia gigantea,binomial
NNN.Tragelaphus eurycerus,NNN,Tragelaphus eurycerus,binomial
NNN.Civettictis civetta,NNN,Civettictis civetta,binomial
NNN.Thryonomys swinderianus,NNN,Thryonomys swinderianus,binomial
NNN.Cephalophus leucogaster,NNN,Cephalophus leucogaster,binomial
NNN.Hylochoerus meinertzhageni,NNN,Hylochoerus meinertzhageni,binomial
NNN.Cephalophus nigrifrons,NNN,Cephalophus nigrifrons,binomial
YAS.Tamandua tetradactyla,YAS,Tamandua tetradactyla,binomial
YAS.Baryphthengus martii,YAS,Baryphthengus martii,binomial
YAS.Galictis vittata,YAS,Galictis vittata,binomial
YAS.Speothos venaticus,YAS,Speothos venaticus,binomial
YAS.Sylvilagus brasiliensis,YAS,Sylvilagus brasiliensis,binomial
YAS.Crypturellus soui,YAS,Crypturellus soui,binomial
YAS.Dasypus kappleri,YAS,Dasypus kappleri,binomial
YAS.Metachirus nudicaudatus,YAS,Metachirus nudicaudatus,binomial
YAS.Leptotila rufaxilla,YAS,Leptotila rufaxilla,binomial
YAS.Didelphis marsupialis,YAS,Didelphis marsupialis,binomial
YAS.Neomorphus geoffroyi,YAS,Neomorphus geoffroyi,binomial
YAS.Procyon cancrivorus,YAS,Procyon cancrivorus,binomial
YAS.Tinamus guttatus,YAS,Tinamus guttatus,binomial
YAS.Crypturellus undulatus,YAS,Crypturellus undulatus,binomial
YAS.Philander andersoni,YAS,Philander andersoni,binomial
YAS.Panthera onca,YAS,Panthera onca,binomial
YAS.Priodontes maximus,YAS,Priodontes maximus,binomial
YAS.Leopardus wiedii,YAS,Leopardus wiedii,binomial
RNF.Hemicentetes nigriceps,RNF,Hemicentetes nigriceps,binomial
RNF.Hemicentetes semispinosus,RNF,Hemicentetes semispinosus,binomial
RNF.Numida meleagris,RNF,Numida meleagris,binomial
RNF.Eupleres goudotii,RNF,Eupleres goudotii,binomial
RNF.Brachypteracias squamiger,RNF,Brachypteracias squamiger,binomial
RNF.Setifer setosus,RNF,Setifer setosus,binomial
RNF.Eulemur rufifrons,RNF,Eulemur rufifrons,binomial
UDZ.Thryonomys swinderianus,UDZ,Thryonomys swinderianus,binomial
UDZ.Tragelaphus scriptus,UDZ,Tragelaphus scriptus,binomial
UDZ.Leptailurus serval,UDZ,Leptailurus serval,binomial
UDZ.Rhynchocyon cirnei,UDZ,Rhynchocyon cirnei,binomial
UDZ.Panthera pardus,UDZ,Panthera pardus,binomial
UDZ.Petrodromus tetradactylus,UDZ,Petrodromus tetradactylus,binomial
UDZ.Syncerus caffer,UDZ,Syncerus caffer,binomial
UDZ.Atilax paludinosus,UDZ,Atilax paludinosus,binomial
UDZ.Civettictis civetta,UDZ,Civettictis civetta,binomial
UDZ.Hystrix africaeaustralis,UDZ,Hystrix africaeaustralis,binomial
UDZ.Francolinus squamatus,UDZ,Francolinus squamatus,binomial
UDZ.Papio cynocephalus,UDZ,Papio cynocephalus,binomial
UDZ.Mungos mungo,UDZ,Mungos mungo,binomial
UDZ.Xenoperdix udzungwensis,UDZ,Xenoperdix udzungwensis,binomial
UDZ.Crocuta crocuta,UDZ,Crocuta crocuta,binomial
BCI.Tapirus bairdii,BCI,Tapirus bairdii,binomial
BCI.Hydrochoerus isthmius,BCI,Hydrochoerus isthmius,binomial
BCI.Galictis vittata,BCI,Galictis vittata,binomial
