Site.Code,Sampling.Unit.Name,Sampling.Period,Temp.Min,Temp.Max,Temp.Var,Year
PSH,CT-PSH-2-07,2011.01,20,25,1.066827052,2011
PSH,CT-PSH-1-08,2011.01,21,29,3.210541923,2011
PSH,CT-PSH-2-10,2011.01,21,21,0,2011
PSH,CT-PSH-2-18,2011.01,17,17,0,2011
PSH,CT-PSH-2-17,2011.01,21,21,0,2011
PSH,CT-PSH-1-26,2011.01,22,28,3.502673225,2011
PSH,CT-PSH-2-14,2011.01,21,27,3.895211931,2011
PSH,CT-PSH-2-22,2011.01,20,20,0,2011
PSH,CT-PSH-1-23,2011.01,20,25,1.426960784,2011
PSH,CT-PSH-2-13,2011.01,20,21,0.257142857,2011
PSH,CT-PSH-1-24,2011.01,22,27,1.755681818,2011
PSH,CT-PSH-2-21,2011.01,19,21,0.768022138,2011
PSH,CT-PSH-1-21,2011.01,21,27,3.772574227,2011
PSH,CT-PSH-1-29,2011.01,20,26,4.36985237,2011
PSH,CT-PSH-2-20,2011.01,19,24,0.44478951,2011
PSH,CT-PSH-1-22,2011.01,21,26,3.164798995,2011
PSH,CT-PSH-2-02,2011.01,22,24,0.340909091,2011
PSH,CT-PSH-2-26,2011.01,22,24,1.111111111,2011
PSH,CT-PSH-1-02,2011.01,22,29,3.391543672,2011
PSH,CT-PSH-1-01,2011.01,22,29,3.209060078,2011
PSH,CT-PSH-1-19,2011.01,20,26,3.494012398,2011
PSH,CT-PSH-2-12,2011.01,19,25,3.140575991,2011
PSH,CT-PSH-1-07,2011.01,23,29,2.367595819,2011
PSH,CT-PSH-1-20,2011.01,22,27,0.888244077,2011
PSH,CT-PSH-1-30,2011.01,21,26,1.699471057,2011
PSH,CT-PSH-1-06,2011.01,21,26,1.438291381,2011
PSH,CT-PSH-1-05,2011.01,22,25,1.003506311,2011
PSH,CT-PSH-1-17,2011.01,22,25,0.741754386,2011
PSH,CT-PSH-2-01,2011.01,23,23,0,2011
PSH,CT-PSH-1-18,2011.01,19,24,1.883940621,2011
PSH,CT-PSH-1-04,2011.01,22,29,5.646260388,2011
PSH,CT-PSH-1-03,2011.01,22,26,1.748058444,2011
PSH,CT-PSH-2-11,2011.01,21,21,0,2011
PSH,CT-PSH-2-02,2012.01,23,24,0.256410256,2012
PSH,CT-PSH-1-29,2012.01,25,27,0.525405405,2012
PSH,CT-PSH-1-30,2012.01,22,28,1.270935961,2012
PSH,CT-PSH-1-27,2012.01,22,34,5.666806849,2012
PSH,CT-PSH-1-28,2012.01,24,30,3.285164835,2012
PSH,CT-PSH-1-25,2012.01,22,28,2.420818034,2012
