"","sitecode","trap_ID","lat","long","buffer_m","fc_threshold","fc_npix","fc_frac_loss","fc_frac_gain","fc_frac_lossgain"
"253","BCI","CT-BCI-1-25",9.16902012,-79.8508547700005,"30m buffer",75,2,0,0,0
"254","BCI","CT-BCI-1-25",9.16902012,-79.8508547700005,"60m buffer",75,12,0,0,0
"255","BCI","CT-BCI-1-25",9.16902012,-79.8508547700005,"120m buffer",75,46,0,0,0
"256","BCI","CT-BCI-1-26",9.16911836000002,-79.8378440500005,"30m buffer",75,3,0,0,0
"257","BCI","CT-BCI-1-26",9.16911836000002,-79.8378440500005,"60m buffer",75,12,0,0,0
"258","BCI","CT-BCI-1-26",9.16911836000002,-79.8378440500005,"120m buffer",75,48,0,0,0
"259","BCI","CT-BCI-1-27",9.18214433999999,-79.8250347400006,"30m buffer",75,3,0,0,0
"260","BCI","CT-BCI-1-27",9.18214433999999,-79.8250347400006,"60m buffer",75,12,0,0,0
"261","BCI","CT-BCI-1-27",9.18214433999999,-79.8250347400006,"120m buffer",75,47,0,0,0
"262","BCI","CT-BCI-1-28",9.19452349000002,-79.8504497600005,"30m buffer",75,4,0,0,0
"263","BCI","CT-BCI-1-28",9.19452349000002,-79.8504497600005,"60m buffer",75,13,0,0,0
"264","BCI","CT-BCI-1-28",9.19452349000002,-79.8504497600005,"120m buffer",75,49,0,0,0
"265","BCI","CT-BCI-1-29",9.19471173999999,-79.8375311500005,"30m buffer",75,3,0,0,0
"266","BCI","CT-BCI-1-29",9.19471173999999,-79.8375311500005,"60m buffer",75,10,0,0,0
"267","BCI","CT-BCI-1-29",9.19471173999999,-79.8375311500005,"120m buffer",75,46,0,0,0
"268","BCI","CT-BCI-1-30",9.20748534999997,-79.8246659300006,"30m buffer",75,3,0,0,0
"269","BCI","CT-BCI-1-30",9.20748534999997,-79.8246659300006,"60m buffer",75,10,0,0,0
"270","BCI","CT-BCI-1-30",9.20748534999997,-79.8246659300006,"120m buffer",75,47,0,0,0
"271","BCI","CT-BCI-2-01",9.20762130059302,-79.7861185669899,"30m buffer",75,2,0,0,0
"272","BCI","CT-BCI-2-01",9.20762130059302,-79.7861185669899,"60m buffer",75,12,0,0,0
"273","BCI","CT-BCI-2-01",9.20762130059302,-79.7861185669899,"120m buffer",75,46,0,0,0
"274","BCI","CT-BCI-2-02",9.14339982904494,-79.7605021297932,"30m buffer",75,3,0,0,0
"275","BCI","CT-BCI-2-02",9.14339982904494,-79.7605021297932,"60m buffer",75,13,0,0,0
"276","BCI","CT-BCI-2-02",9.14339982904494,-79.7605021297932,"120m buffer",75,48,0,0,0
