site,sp,Site.sp,median.coeff,ind95,ind80,cont,rls,mass,class,guild,nyears,site_type,Hunted
YAN,Dasypus kappleri,Dasypus kappleri-YAN,-1.175900812,decreasing,decreasing,LA,LC,9500,MAMMALIA,Herbivore,3,remote,No
YAN,Mazama americana,Mazama americana-YAN,-0.227623289,stable,decreasing,LA,DD,22800,MAMMALIA,Herbivore,3,remote,No
YAN,Metachirus nudicaudatus,Metachirus nudicaudatus-YAN,0.658483545,stable,stable,LA,LC,375,MAMMALIA,Omnivore,3,remote,No
YAN,Procyon cancrivorus,Procyon cancrivorus-YAN,-0.843476913,stable,stable,LA,LC,6950,MAMMALIA,Carnivore,3,remote,No
YAN,Panthera onca,Panthera onca-YAN,0.540480498,stable,increasing,LA,NT,1.00E+05,MAMMALIA,Carnivore,3,remote,No
YAN,Leopardus wiedii,Leopardus wiedii-YAN,-0.862930592,stable,decreasing,LA,NT,3250,MAMMALIA,Carnivore,3,remote,No
YAN,Myrmecophaga tridactyla,Myrmecophaga tridactyla-YAN,4.52E-16,stable,stable,LA,VU,22333,MAMMALIA,Insectivore,3,remote,No
YAN,Tamandua tetradactyla,Tamandua tetradactyla-YAN,1.090137979,increasing,increasing,LA,LC,5515,MAMMALIA,Insectivore,3,remote,No
YAN,Puma yagouaroundi,Puma yagouaroundi-YAN,-0.197384734,stable,stable,LA,LC,8400,MAMMALIA,Carnivore,3,remote,No
YAN,Tremarctos ornatus,Tremarctos ornatus-YAN,-0.843476913,stable,stable,LA,VU,140001,MAMMALIA,Omnivore,3,remote,No
NAK,Muntiacus muntjak,Muntiacus muntjak-NAK,-2.53E-16,stable,stable,AS,LC,14000,MAMMALIA,Herbivore,4,settled,Yes
NAK,Herpestes urva,Herpestes urva-NAK,0.432503066,increasing,increasing,AS,LC,1863,MAMMALIA,Carnivore,4,settled,Unknown
NAK,Paradoxurus hermaphroditus,Paradoxurus hermaphroditus-NAK,0.076041419,stable,stable,AS,LC,3200,MAMMALIA,Omnivore,4,settled,Yes
NAK,Atherurus macrourus,Atherurus macrourus-NAK,0.021068142,stable,stable,AS,LC,2000,MAMMALIA,Omnivore,4,settled,Yes
NAK,Sus scrofa,Sus scrofa-NAK,0.239500006,increasing,increasing,AS,LC,117286,MAMMALIA,Omnivore,4,settled,Yes
NAK,Arctonyx collaris,Arctonyx collaris-NAK,0.139244179,stable,stable,AS,NT,6356,MAMMALIA,Carnivore,4,settled,Yes
NAK,Hystrix brachyura,Hystrix brachyura-NAK,0.3109305,stable,increasing,AS,LC,8000,MAMMALIA,Omnivore,4,settled,Yes
NAK,Prionailurus bengalensis,Prionailurus bengalensis-NAK,0.053610732,stable,stable,AS,LC,3300,MAMMALIA,Carnivore,4,settled,Yes
NAK,Macaca arctoides,Macaca arctoides-NAK,0.426880056,stable,stable,AS,VU,5000,MAMMALIA,Omnivore,4,settled,Yes
NAK,Tragulus kanchil,Tragulus kanchil-NAK,-0.452858132,decreasing,decreasing,AS,LC,2000,MAMMALIA,Herbivore,4,settled,Yes
NAK,Pardofelis marmorata,Pardofelis marmorata-NAK,-0.354204394,stable,stable,AS,VU,2459,MAMMALIA,Carnivore,4,settled,Yes
NAK,Macaca leonina,Macaca leonina-NAK,0.014354596,stable,stable,AS,VU,6093,MAMMALIA,Omnivore,4,settled,Yes
NAK,Arctictis binturong,Arctictis binturong-NAK,0.332686958,stable,increasing,AS,VU,13000,MAMMALIA,Carnivore,4,settled,Yes
NAK,Martes flavigula,Martes flavigula-NAK,-0.430611465,stable,stable,AS,LC,1185,MAMMALIA,Omnivore,4,settled,Unknown
NAK,Manis javanica,Manis javanica-NAK,0.423216072,stable,stable,AS,EN,5150,MAMMALIA,Insectivore,4,settled,Yes
NAK,Leopoldamys sabanus,Leopoldamys sabanus-NAK,-0.205756199,stable,stable,AS,LC,391,MAMMALIA,Insectivore,4,settled,Yes
NAK,Melogale personata,Melogale personata-NAK,-0.205756199,stable,stable,AS,DD,1703,MAMMALIA,Insectivore,4,settled,Yes
NAK,Viverra zibetha,Viverra zibetha-NAK,0.13571061,stable,stable,AS,NT,9000,MAMMALIA,Omnivore,4,settled,Yes
NAK,Macaca assamensis,Macaca assamensis-NAK,-0.301472437,stable,stable,AS,NT,12000,MAMMALIA,Omnivore,4,settled,Yes
NAK,Pardofelis temminckii,Pardofelis temminckii-NAK,0.13571061,stable,stable,AS,NT,12500,MAMMALIA,Carnivore,4,settled,Yes
NAK,Cuon alpinus,Cuon alpinus-NAK,0.425039756,stable,stable,AS,EN,12760,MAMMALIA,Carnivore,4,settled,Unknown
NAK,Capricornis milneedwardsii,Capricornis milneedwardsii-NAK,-0.931495341,stable,decreasing,AS,NT,160000,MAMMALIA,Herbivore,4,settled,Yes
RNF,Fossa fossana,Fossa fossana-RNF,-0.322410675,decreasing,decreasing,AF,NT,218,MAMMALIA,Carnivore,4,settled,Yes
RNF,Nesomys rufus,Nesomys rufus-RNF,-0.49590591,decreasing,decreasing,AF,LC,163,MAMMALIA,Herbivore,4,settled,No
RNF,Galidia elegans,Galidia elegans-RNF,-0.650534456,decreasing,decreasing,AF,LC,800,MAMMALIA,Carnivore,4,settled,Yes
RNF,Cryptoprocta ferox,Cryptoprocta ferox-RNF,0.22611005,stable,increasing,AF,VU,9500,MAMMALIA,Carnivore,4,settled,No
RNF,Tenrec ecaudatus,Tenrec ecaudatus-RNF,0.042177983,stable,stable,AF,LC,868,MAMMALIA,Omnivore,4,settled,Yes
RNF,Rattus rattus,Rattus rattus-RNF,0.220386233,increasing,increasing,AF,LC,280,MAMMALIA,Omnivore,4,settled,No
RNF,Eulemur rufifrons,Eulemur rufifrons-RNF,-0.353554937,stable,decreasing,AF,NT,300,MAMMALIA,Herbivore,4,settled,No
RNF,Potamochoerus larvatus,Potamochoerus larvatus-RNF,0.49285555,increasing,increasing,AF,LC,48781,MAMMALIA,Omnivore,4,settled,Yes
RNF,Setifer setosus,Setifer setosus-RNF,0.23424609,stable,increasing,AF,LC,213,MAMMALIA,Insectivore,4,settled,Yes
RNF,Eupleres goudotii,Eupleres goudotii-RNF,-0.389308287,decreasing,decreasing,AF,NT,1500,MAMMALIA,Carnivore,4,settled,Yes
RNF,Galidictis fasciata,Galidictis fasciata-RNF,-0.11468917,stable,stable,AF,NT,550,MAMMALIA,Carnivore,4,settled,Yes
RNF,Hemicentetes nigriceps,Hemicentetes nigriceps-RNF,-0.854772648,decreasing,decreasing,AF,LC,1.00E+05,MAMMALIA,Carnivore,4,settled,Yes
RNF,Hemicentetes semispinosus,Hemicentetes semispinosus-RNF,0.428737211,stable,stable,AF,LC,138,MAMMALIA,Carnivore,4,settled,Yes
